name,diet,period_name,period_year(million_years_ago),continent,lived_in,type,length,named_by,Altura,Peso,_merge
allosaurus,carnivorous,Late Jurassic,156-144,América del Norte,USA,large theropod,12.0,Marsh (1877),,,left_only
alvarezsaurus,carnivorous,Late Cretaceous,89-85,America del Sur,Argentina,small theropod,2.0,Bonaparte (1991),1.1 metros,3 kilos,both
amargasaurus,herbivorous,Early Cretaceous,132-127,America del Sur,Argentina,sauropod,12.0,Salgado and Bonaparte (1991),3 metros,3000 kilos,both
ammosaurus,herbivorous,Early Jurassic,195-180,América del Norte,USA,sauropod,5.0,Marsh (1891),4 metros,70 kilos,both
ampelosaurus,herbivorous,Late Cretaceous,71-65,Europa,France,sauropod,15.0,Le Loeuff (1995),5 metros,800 kilos,both
amygdalodon,herbivorous,Mid Jurassic,177-169,America del Sur,Argentina,sauropod,15.0,Cabrera (1947),4 metros,5000 kilos,both
anchiceratops,herbivorous,Late Cretaceous,74-70,América del Norte,Canada,ceratopsian,6.0,Brown (1914),2 metros,1200 kilos,both
anchisaurus,herbivorous,Early Jurassic,190,América del Norte,USA,sauropod,2.0,Marsh (1885),0.5 metros,27 kilos,both
ankylosaurus,herbivorous,Late Cretaceous,74-67,América del Norte,USA,armoured dinosaur,7.0,Brown (1908),1.7 metros,8000 kilos,both
anserimimus,carnivorous,Late Cretaceous,84-65,Asia,Mongolia,large theropod,3.5,Barsbold (1988),,50 kilos,both
antarctosaurus,herbivorous,Late Cretaceous,84-65,America del Sur,Uruguay,sauropod,18.0,von Huene (1929),4.5 metros,34000 kilos,both
apatosaurus,herbivorous,Late Jurassic,154-145,América del Norte,USA,sauropod,21.0,Marsh (1877),5 metros,22000 kilos,both
aragosaurus,herbivorous,Early Cretaceous,132-121,Europa,Spain,sauropod,18.0,Sanz Buscalioni Casanovas and Sanafé (1987),4.5 metros,28000 kilos,both
aralosaurus,herbivorous,Late Cretaceous,94-84,Asia,Kazakhstan,euornithopod,8.0,Rozhdestvensky (1968),2.6 metros,5000 kilos,both
archaeoceratops,herbivorous,Early Cretaceous,121-99,Asia,China,ceratopsian,1.3,Dong and Azuma (1987),0.23 metros,5 kilos,both
archaeopteryx,carnivorous,Late Jurassic,147,Europa,Germany,small theropod,0.5,Mayer (1861),0.2 metros,1 kilos,both
archaeornithomimus,carnivorous,Late Cretaceous,95-70,Asia,Uzbekistan,small theropod,3.5,Russell (1972),1.8 metros,50 kilos,both
argentinosaurus,herbivorous,Late Cretaceous,90,America del Sur,Argentina,sauropod,35.0,Bonaparte and Coria (1993),21.4 metros,100000 kilos,both
arrhinoceratops,herbivorous,Late Cretaceous,72-67,América del Norte,Canada,ceratopsian,6.0,Parks (1925),2 metros,1800 kilos,both
atlascopcosaurus,herbivorous,Early Cretaceous,121-97,Oceanía,Australia,euornithopod,3.0,Rich and Rich (1989),1 metros,120 kilos,both
aucasaurus,carnivorous,Late Cretaceous,84-71,America del Sur,Argentina,large theropod,5.0,Coria Chiappe and Dingus (2002),2.4 metros,700 kilos,both
austrosaurus,herbivorous,Early Cretaceous,112-99,Oceanía,Australia,sauropod,15.0,Longman (1933),3.9 metros,16000 kilos,both
avaceratops,herbivorous,Late Cretaceous,80-75,América del Norte,USA,ceratopsian,2.3,Dodson (1986),1.3 metros,318 kilos,both
avimimus,omnivorous,Late Cretaceous,80-75,Asia,Mongolia,small theropod,1.5,Kurzanov (1981),0.9 metros,15 kilos,both
bactrosaurus,herbivorous,Late Cretaceous,84-71,Asia,China,euornithopod,6.0,Gilmore (1933),2 metros,1500 kilos,both
bagaceratops,herbivorous,Late Cretaceous,85-80,Asia,Mongolia,ceratopsian,1.0,Maryanska and Osmolska (1975),0.5 metros,10 kilos,both
bambiraptor,carnivorous,Late Cretaceous,84-71,América del Norte,USA,small theropod,1.0,Burnham Derstler Currie Bakker Zhou and Ostrom (2000),0.9 metros,6350 kilos,both
barapasaurus,herbivorous,Early Jurassic,185-170,Asia,India,sauropod,14.0,Jain Kutty Roy-Chowdhury and Chatterjee (1975),18 metros,1800 kilos,both
barosaurus,herbivorous,Late Jurassic,155-145,América del Norte,USA,sauropod,24.0,Marsh (1890),12 metros,20000 kilos,both
baryonyx,carnivorous,Early Cretaceous,125,Europa,United Kingdom,large theropod,10.0,Charig and Milner (1987),2.5 metros,1700 kilos,both
becklespinax,carnivorous,Early Cretaceous,142-132,Europa,United Kingdom,large theropod,5.0,Paul (1988),3 metros,900 kilos,both
beipiaosaurus,omnivorous,Early Cretaceous,127-121,Asia,China,small theropod,2.0,Xu Tang and Wang (1999),2.9 metros,85 kilos,both
bellusaurus,herbivorous,Mid Jurassic,180-159,Asia,China,sauropod,5.0,Dong and Azuma (1990),1.5 metros,450 kilos,both
borogovia,carnivorous,Late Cretaceous,84-65,Asia,Mongolia,small theropod,1.5,Osmólska (1987),0.7 metros,20 kilos,both
